,Gene,fold_change,p_value,log2_fold_change
13352,Zbtb16,50.248986283701285,0.00285431167151183,5.651022586736563
2798,Cyp1a1,25.55823666666667,0.039168751974914505,4.675716399090479
5412,Gm4035,16.85279333333333,0.023050418082347927,4.074915831347959
4730,Gm14393,16.369286666666667,0.026626795675843976,4.032919548960547
973,Angptl4,16.247349015093018,0.012035223654510058,4.022132436119065
781,Adrb2,14.07285161466922,0.04813698824802916,3.8148427897374235
7654,Mir6999,13.922553333333333,0.0038904798967231745,3.799351914086348
10881,Sgk1,12.402203885998533,0.025060790964745165,3.632524606860841
4845,Gm15890,10.219775289808123,0.0009559085282280067,3.3532915698474834
4801,Gm15502,8.560192772964957,0.011589775404721185,3.0976432860503746
6211,Hist1h2aj,8.215642722740563,0.03740690366695812,3.0383734439080703
2819,Cyp4a32,7.678837830467854,0.023160148099498058,2.9408879798145575
6186,Hif3a,7.288880255574136,0.00023009021222894022,2.865697199489174
10991,Slc12a3,7.077066666666665,0.03355952109172491,2.823151509692255
4505,Gm11586,7.009275350883249,0.004048444560809055,2.8092652999096925
9806,RP23-78N8.9,6.981949226789891,0.011688087004210949,2.803629865552257
5581,Gm5699,6.780275256926498,0.007812932741067773,2.7613438432350708
8357,Nlrp9b,6.473370362016465,0.015118761899881143,2.694517047386453
5238,Gm27252,5.870281879559933,0.017713199979764033,2.5534297804187047
4844,Gm15889,5.600922806548562,0.0017108259608364395,2.4856645448042824
420,8430408G22Rik,5.312247709697609,0.04915701683530081,2.409322421010917
7669,Mir7049,5.202153113156469,0.014716747197747017,2.379108862245289
5690,Gm7785,4.905544486167523,0.02194958468216418,2.2944132758731937
3998,Fez1,4.893656661080543,0.027773760004655756,2.2909128854932463
3338,E230001N04Rik,4.724092279206709,0.0011869709371885439,2.24003714624515
5610,Gm6158,4.653683287930831,0.017737978925071583,2.2183730297206328
7622,Mir6386,4.049827019236133,0.010604887052184953,2.0178602873010067
6232,Hist1h3d,3.9313480445731215,0.024762049969369367,1.9750240920633062
5537,Gm4714,3.8953689398435727,0.03645372083587347,1.9617599759058741
6162,Herpud1,3.837351743491007,6.348343167581628e-05,1.940111012877068
3214,Dok3,3.8094978159612722,0.011535000022003304,1.9296008281192787
7673,Mir7059,3.791377686786294,0.011301523747185098,1.922722181043671
3045,Derl3,3.7608584689061226,0.0381164420266066,1.9110620149532644
12608,Trp53inp1,3.730710708731567,0.00027483090696788463,1.899450493293368
7027,Lgals1-ps2,3.7065219886945466,0.02609381817152198,1.8900660701053715
2959,Ddit4,3.6828378026121165,0.001143969817064629,1.880817860305817
5457,Gm43031,3.582466635397773,0.042636230445954146,1.8409532682919372
12023,Tfcp2l1,3.5112613179283385,0.004870793763854112,1.8119893696308538
10224,Rnf125,3.484843478393287,0.00014304499522574618,1.8010938589582863
11713,Stpg1,3.4485549827226194,0.03158301428594907,1.7859919688560952
3480,Eif4ebp3,3.447296539730815,0.00934015755789225,1.7854654060443058
5809,Gmfg,3.3553757322365225,0.008751061775237651,1.7464743272847996
4044,Fkbp5,3.2974913901349674,0.02570035130783553,1.7213688925546664
7817,Mroh3,3.2856535453313955,0.02647266067709333,1.7161803637987951
