Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000051951	Xkr4	1	-	3205901	3671498	0.043814	0.047474	0.099314
ENSMUSG00000102851	Gm18956	1	+	3252757	3253236	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3365731	3368549	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3375556	3377788	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3464977	3467285	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3466587	3513553	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3512451	3514507	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3531795	3532720	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3592892	3595903	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3647309	3658904	0.000000	0.000000	0.000000
ENSMUSG00000098104	Gm6085	1	-	4687934	4689403	0.204082	0.150698	0.315256
ENSMUSG00000103922	Gm6123	1	+	4771131	4772199	0.140318	0.103614	0.216756
ENSMUSG00000033845	Mrpl15	1	-	4773206	4785739	8.685401	17.309977	36.211899
ENSMUSG00000102275	Gm37144	1	-	4778063	4779212	0.670435	0.495063	1.035654
ENSMUSG00000025903	Lypla1	1	+	4807788	4848410	25.770128	56.985077	119.210899
ENSMUSG00000104217	Gm37988	1	+	4807892	4886770	0.152421	0.112551	0.235452
ENSMUSG00000033813	Tcea1	1	+	4857814	4897909	13.771562	47.755383	99.902679
ENSMUSG00000062588	Gm6104	1	-	4880049	4880651	2.929519	2.163215	4.525374
ENSMUSG00000002459	Rgs20	1	-	4909576	5070285	0.000000	0.000000	0.000000
ENSMUSG00000091305	Gm17100	1	-	4927028	4927299	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	4938576	4940710	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	4970857	4976820	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5063060	5064647	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5070018	5162529	4.986571	18.998957	39.745190
ENSMUSG00000025907	Rb1cc1	1	+	6206197	6276648	2.855165	8.486537	17.753555
ENSMUSG00000090031	4732440D04Rik	1	-	6209866	6215293	1.130283	0.837510	1.752043
ENSMUSG00000102135	Gm37108	1	+	6916559	6923588	0.894569	0.660568	1.381885
ENSMUSG00000051285	Pcmtd1	1	+	7088920	7173628	7.856477	7.868839	16.461351
ENSMUSG00000098201	Gm26983	1	-	7136199	7136586	0.000000	0.000000	0.000000
ENSMUSG00000103509	Gm38372	1	+	7148110	7152137	0.372393	0.274982	0.575254
ENSMUSG00000048538	Gm9826	1	+	7177739	7179037	1.577366	1.164758	2.436636
ENSMUSG00000097797	Gm26901	1	-	7349406	7397869	0.049669	0.709948	1.485188
