Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000104328	Gm37323	1	-	4583129	4586252	0.000000	0.000000	0.000000
ENSMUSG00000098104	Gm6085	1	-	4687934	4689403	0.637415	0.247789	0.484559
ENSMUSG00000103922	Gm6123	1	+	4771131	4772199	0.394761	0.153459	0.300095
ENSMUSG00000033845	Mrpl15	1	-	4773206	4785739	22.737364	24.429312	47.772297
ENSMUSG00000102275	Gm37144	1	-	4778063	4779212	0.233043	0.090593	0.177158
ENSMUSG00000025903	Lypla1	1	+	4807788	4848410	40.560196	46.658356	91.241905
ENSMUSG00000104217	Gm37988	1	+	4807892	4886770	0.200991	0.078133	0.152792
ENSMUSG00000033813	Tcea1	1	+	4857814	4897909	24.580046	44.756748	87.523247
ENSMUSG00000062588	Gm6104	1	-	4880049	4880651	5.765340	2.241218	4.382773
ENSMUSG00000002459	Rgs20	1	-	4909576	5070285	0.027115	0.054881	0.107321
ENSMUSG00000091305	Gm17100	1	-	4927028	4927299	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	4938576	4940710	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	4970857	4976820	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5063060	5064647	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5070018	5162529	12.263215	25.623955	50.108459
ENSMUSG00000025907	Rb1cc1	1	+	6206197	6276648	3.976860	5.844036	11.428198
ENSMUSG00000090031	4732440D04Rik	1	-	6209866	6215293	0.944490	0.369902	0.723355
ENSMUSG00000103845	Gm19026	1	-	6429655	6441296	0.000000	0.000000	0.000000
ENSMUSG00000033740	St18	1	+	6487231	6860940	0.021906	0.019793	0.038706
ENSMUSG00000102135	Gm37108	1	+	6916559	6923588	0.000000	0.000000	0.000000
ENSMUSG00000051285	Pcmtd1	1	+	7088920	7173628	9.230989	4.643792	9.081083
ENSMUSG00000098201	Gm26983	1	-	7136199	7136586	0.000000	0.000000	0.000000
ENSMUSG00000103509	Gm38372	1	+	7148110	7152137	0.269861	0.104906	0.205147
ENSMUSG00000048538	Gm9826	1	+	7177739	7179037	2.525789	0.981875	1.920088
ENSMUSG00000097797	Gm26901	1	-	7349406	7397869	0.088468	0.665713	1.301823
ENSMUSG00000103067	Gm30414	1	+	7497968	7518149	0.194145	0.075472	0.147588
ENSMUSG00000025909	Sntg1	1	-	8361475	9299878	0.000000	0.000000	0.000000
ENSMUSG00000102647	Gm38024	1	-	8450960	8453491	0.000000	0.000000	0.000000
ENSMUSG00000086235	Gm16284	1	-	8468426	8468825	0.000000	0.000000	0.000000
ENSMUSG00000102253	Gm38259	1	-	8527780	8531313	0.000000	0.000000	0.000000
ENSMUSG00000093970	Gm23358	1	-	8588615	8588724	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8643696	8644859	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8791923	8792162	0.000000	0.000000	0.000000
ENSMUSG00000103933	Gm36964	1	+	8815842	8816039	0.439394	0.170810	0.334024
ENSMUSG00000076135	Gm24276	1	+	8816138	8816247	0.000000	0.000000	0.000000
ENSMUSG00000086195	Gm6152	1	-	8855928	8856267	0.000000	0.000000	0.000000
ENSMUSG00000104504	Gm7445	1	+	8856763	8857102	0.000000	0.000000	0.000000
ENSMUSG00000066693	Gm7493	1	-	8962996	8963621	0.000000	0.000000	0.000000
ENSMUSG00000102316	Gm37629	1	-	9191067	9192116	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9258617	9259134	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9286922	9290180	0.000000	0.000000	0.000000
ENSMUSG00000061024	Rrs1	1	+	9545408	9547455	146.213867	56.839172	111.150818
ENSMUSG00000025911	Adhfe1	1	+	9547948	9580673	1.847619	0.955495	1.868501
ENSMUSG00000079671	2610203C22Rik	1	-	9560832	9631175	0.000000	0.000000	0.000000
ENSMUSG00000081441	Gm6161	1	+	9574548	9575649	3.657009	1.421625	2.780034
ENSMUSG00000067879	3110035E14Rik	1	+	9601199	9627143	0.000000	0.000000	0.000000
ENSMUSG00000025912	Mybl1	1	-	9667415	9700209	1.330248	0.560941	1.096938
ENSMUSG00000045210	Vcpip1	1	-	9718622	9748382	12.384219	4.814241	9.414401
ENSMUSG00000097893	1700034P13Rik	1	+	9747648	9791924	0.173103	0.752731	1.471989
ENSMUSG00000025915	Sgk3	1	+	9798107	9900845	0.798303	2.707807	5.295202
ENSMUSG00000046334	Gm6195	1	-	9802197	9802553	0.000000	0.000000	0.000000
ENSMUSG00000088916	Gm22607	1	-	9834498	9834602	0.000000	0.000000	0.000000
ENSMUSG00000046101	Mcmdc2	1	+	9908638	9942085	0.000000	0.000000	0.000000
ENSMUSG00000098234	Snhg6	1	-	9941959	9944118	63.775742	56.198872	109.898674
ENSMUSG00000093178	Snord87	1	-	9942463	9942549	6.724138	2.613941	5.111645
ENSMUSG00000099032	Tcf24	1	-	9960163	9967932	0.481040	0.268256	0.524583
ENSMUSG00000104025	E330040D14Rik	1	+	9967314	9968687	0.000000	0.000000	0.000000
ENSMUSG00000025916	Ppp1r42	1	-	9968624	10009136	0.000000	0.000000	0.000000
ENSMUSG00000087199	Gm15818	1	+	9982387	9992366	0.000000	0.000000	0.000000
ENSMUSG00000025917	Cops5	1	-	10024601	10038168	57.543106	49.769661	97.326149
ENSMUSG00000056763	Cspp1	1	+	10037987	10136768	2.166766	5.886287	11.510821
ENSMUSG00000102356	1700047N06Rik	1	-	10057025	10057944	0.000000	0.000000	0.000000
ENSMUSG00000067851	Arfgef1	1	-	10137571	10232670	33.697693	21.406376	41.860851
ENSMUSG00000088153	Gm26348	1	+	10166539	10166778	0.000000	0.000000	0.000000
ENSMUSG00000102556	Gm37569	1	-	10197081	10198802	0.000000	0.000000	0.000000
ENSMUSG00000025938	Slco5a1	1	-	12866549	12992650	0.023936	0.027412	0.053604
ENSMUSG00000005886	Ncoa2	1	-	13139105	13374083	9.067738	7.841146	15.333611
ENSMUSG00000103506	Gm38376	1	-	13177462	13179714	0.000000	0.000000	0.000000
ENSMUSG00000103495	Gm37409	1	-	13234809	13236434	0.000000	0.000000	0.000000
ENSMUSG00000099183	Gm27881	1	+	13262198	13262279	0.000000	0.000000	0.000000
ENSMUSG00000102639	Gm38223	1	-	13289812	13290506	0.000000	0.000000	0.000000
ENSMUSG00000104170	Gm37702	1	-	13297036	13298907	0.000000	0.000000	0.000000
ENSMUSG00000087782	Gm23169	1	-	13334498	13334609	0.000000	0.000000	0.000000
ENSMUSG00000103085	Gm38120	1	-	13343563	13348204	0.000000	0.000000	0.000000
ENSMUSG00000102664	Gm38380	1	-	13354483	13356730	0.000000	0.000000	0.000000
ENSMUSG00000025935	Tram1	1	-	13564698	13589910	60.284149	25.232731	49.343407
ENSMUSG00000025937	Lactb2	1	-	13623330	13660546	14.312637	5.682910	11.113111
ENSMUSG00000102982	Gm38319	1	-	13641483	13642748	0.217220	0.084442	0.165129
ENSMUSG00000067813	Xkr9	1	+	13668771	13701723	0.685358	0.266426	0.521005
ENSMUSG00000081201	Smt3h2-ps4	1	-	14839869	14840156	2.964451	1.152401	2.253556
ENSMUSG00000082193	Rpl5-ps1	1	+	14865072	14865965	5.686246	2.210471	4.322647
ENSMUSG00000073737	Gm10566	1	-	15268802	15269797	1.544578	0.600439	1.174178
ENSMUSG00000092083	Kcnb2	1	+	15287254	15723750	0.019782	0.029428	0.057547
ENSMUSG00000102937	Gm38116	1	+	15364302	15365834	0.000000	0.000000	0.000000
ENSMUSG00000104149	Gm37138	1	+	15556249	15558337	0.000000	0.000000	0.000000
ENSMUSG00000088829	Gm25227	1	-	15685935	15686046	0.000000	0.000000	0.000000
ENSMUSG00000025925	Terf1	1	+	15805646	15844052	13.988499	11.788205	23.052210
ENSMUSG00000104379	Gm37509	1	+	15853331	15856499	0.254128	0.098790	0.193186
ENSMUSG00000032719	Sbspon	1	-	15853862	15892722	0.158176	0.061489	0.120244
ENSMUSG00000088943	Gm23259	1	+	15879530	15879832	0.000000	0.000000	0.000000
