Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000051951	Xkr4	1	-	3205901	3671498	0.000000	0.000000	0.000000
ENSMUSG00000102851	Gm18956	1	+	3252757	3253236	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3365731	3368549	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3375556	3377788	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3464977	3467285	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3466587	3513553	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3512451	3514507	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3531795	3532720	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3592892	3595903	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3647309	3658904	0.000000	0.000000	0.000000
ENSMUSG00000104328	Gm37323	1	-	4583129	4586252	0.000000	0.000000	0.000000
ENSMUSG00000098104	Gm6085	1	-	4687934	4689403	0.514966	0.097520	0.206786
ENSMUSG00000103922	Gm6123	1	+	4771131	4772199	0.520112	0.098494	0.208853
ENSMUSG00000033845	Mrpl15	1	-	4773206	4785739	31.385427	15.479516	32.823719
ENSMUSG00000102275	Gm37144	1	-	4778063	4779212	2.439131	0.461900	0.979442
ENSMUSG00000025903	Lypla1	1	+	4807788	4848410	84.710350	46.917030	99.485756
ENSMUSG00000104217	Gm37988	1	+	4807892	4886770	0.574330	0.108761	0.230624
ENSMUSG00000033813	Tcea1	1	+	4857814	4897909	49.036682	43.675453	92.612114
ENSMUSG00000062588	Gm6104	1	-	4880049	4880651	10.959369	2.075385	4.400773
ENSMUSG00000002459	Rgs20	1	-	4909576	5070285	0.000000	0.000000	0.000000
ENSMUSG00000091305	Gm17100	1	-	4927028	4927299	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	4938576	4940710	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	4970857	4976820	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5063060	5064647	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5070018	5162529	19.659391	20.579525	43.638092
ENSMUSG00000025907	Rb1cc1	1	+	6206197	6276648	9.027031	6.240836	13.233452
ENSMUSG00000090031	4732440D04Rik	1	-	6209866	6215293	2.544120	0.488862	1.036612
ENSMUSG00000103845	Gm19026	1	-	6429655	6441296	0.066225	0.012541	0.026593
ENSMUSG00000033740	St18	1	+	6487231	6860940	0.188317	0.082890	0.175765
ENSMUSG00000102135	Gm37108	1	+	6916559	6923588	5.748669	1.088630	2.308398
ENSMUSG00000051285	Pcmtd1	1	+	7088920	7173628	21.611134	5.296639	11.231320
ENSMUSG00000098201	Gm26983	1	-	7136199	7136586	0.000000	0.000000	0.000000
ENSMUSG00000103509	Gm38372	1	+	7148110	7152137	0.294191	0.055711	0.118133
ENSMUSG00000048538	Gm9826	1	+	7177739	7179037	5.208375	0.986314	2.091441
ENSMUSG00000097797	Gm26901	1	-	7349406	7397869	0.366561	1.589414	3.370291
ENSMUSG00000103067	Gm30414	1	+	7497968	7518149	0.248844	0.047124	0.099924
ENSMUSG00000025909	Sntg1	1	-	8361475	9299878	0.000000	0.000000	0.000000
ENSMUSG00000102647	Gm38024	1	-	8450960	8453491	0.000000	0.000000	0.000000
ENSMUSG00000086235	Gm16284	1	-	8468426	8468825	0.000000	0.000000	0.000000
ENSMUSG00000102253	Gm38259	1	-	8527780	8531313	0.000000	0.000000	0.000000
ENSMUSG00000093970	Gm23358	1	-	8588615	8588724	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8643696	8644859	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8791923	8792162	2.837500	0.537340	1.139408
ENSMUSG00000103933	Gm36964	1	+	8815842	8816039	0.363636	0.068862	0.146019
ENSMUSG00000076135	Gm24276	1	+	8816138	8816247	0.000000	0.000000	0.000000
ENSMUSG00000086195	Gm6152	1	-	8855928	8856267	0.000000	0.000000	0.000000
ENSMUSG00000104504	Gm7445	1	+	8856763	8857102	0.000000	0.000000	0.000000
ENSMUSG00000066693	Gm7493	1	-	8962996	8963621	0.329872	0.062468	0.132461
ENSMUSG00000102316	Gm37629	1	-	9191067	9192116	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9258617	9259134	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9286922	9290180	0.000000	0.000000	0.000000
ENSMUSG00000061024	Rrs1	1	+	9545408	9547455	142.267090	26.941233	57.127846
ENSMUSG00000025911	Adhfe1	1	+	9547948	9580673	1.229630	0.356536	0.756020
ENSMUSG00000079671	2610203C22Rik	1	-	9560832	9631175	0.000000	0.000000	0.000000
ENSMUSG00000081441	Gm6161	1	+	9574548	9575649	3.538674	0.670122	1.420967
ENSMUSG00000067879	3110035E14Rik	1	+	9601199	9627143	0.000000	0.000000	0.000000
ENSMUSG00000025912	Mybl1	1	-	9667415	9700209	6.515457	1.523699	3.230944
ENSMUSG00000045210	Vcpip1	1	-	9718622	9748382	23.686392	4.485511	9.511353
ENSMUSG00000097893	1700034P13Rik	1	+	9747648	9791924	0.431532	0.894187	1.896089
ENSMUSG00000025915	Sgk3	1	+	9798107	9900845	0.769915	1.328692	2.817440
ENSMUSG00000046334	Gm6195	1	-	9802197	9802553	0.756303	0.143222	0.303696
ENSMUSG00000088916	Gm22607	1	-	9834498	9834602	0.000000	0.000000	0.000000
ENSMUSG00000046101	Mcmdc2	1	+	9908638	9942085	0.048239	0.016634	0.035271
ENSMUSG00000098234	Snhg6	1	-	9941959	9944118	138.414581	58.152191	123.309486
ENSMUSG00000093178	Snord87	1	-	9942463	9942549	19.988506	3.785239	8.026455
ENSMUSG00000099032	Tcf24	1	-	9960163	9967932	0.712616	0.171196	0.363015
ENSMUSG00000104025	E330040D14Rik	1	+	9967314	9968687	0.000000	0.000000	0.000000
ENSMUSG00000025916	Ppp1r42	1	-	9968624	10009136	0.000000	0.000000	0.000000
ENSMUSG00000087199	Gm15818	1	+	9982387	9992366	0.000000	0.000000	0.000000
ENSMUSG00000025917	Cops5	1	-	10024601	10038168	101.811707	43.557644	92.362305
ENSMUSG00000056763	Cspp1	1	+	10037987	10136768	6.193019	8.341916	17.688711
ENSMUSG00000102356	1700047N06Rik	1	-	10057025	10057944	0.000000	0.000000	0.000000
ENSMUSG00000067851	Arfgef1	1	-	10137571	10232670	72.643913	22.484655	47.677845
ENSMUSG00000088153	Gm26348	1	+	10166539	10166778	0.000000	0.000000	0.000000
ENSMUSG00000102556	Gm37569	1	-	10197081	10198802	0.000000	0.000000	0.000000
ENSMUSG00000025938	Slco5a1	1	-	12866549	12992650	0.032633	0.018205	0.038603
ENSMUSG00000042414	Prdm14	1	-	13113457	13127163	0.117005	0.022157	0.046984
ENSMUSG00000005886	Ncoa2	1	-	13139105	13374083	20.339115	8.150394	17.282597
ENSMUSG00000103506	Gm38376	1	-	13177462	13179714	0.000000	0.000000	0.000000
ENSMUSG00000103495	Gm37409	1	-	13234809	13236434	0.000000	0.000000	0.000000
ENSMUSG00000099183	Gm27881	1	+	13262198	13262279	0.000000	0.000000	0.000000
ENSMUSG00000102639	Gm38223	1	-	13289812	13290506	0.000000	0.000000	0.000000
ENSMUSG00000104170	Gm37702	1	-	13297036	13298907	0.000000	0.000000	0.000000
ENSMUSG00000087782	Gm23169	1	-	13334498	13334609	0.000000	0.000000	0.000000
ENSMUSG00000103085	Gm38120	1	-	13343563	13348204	0.000000	0.000000	0.000000
ENSMUSG00000102664	Gm38380	1	-	13354483	13356730	0.000000	0.000000	0.000000
ENSMUSG00000025935	Tram1	1	-	13564698	13589910	97.519608	19.882870	42.160862
ENSMUSG00000025937	Lactb2	1	-	13623330	13660546	25.655058	5.108574	10.832536
ENSMUSG00000102982	Gm38319	1	-	13641483	13642748	0.428910	0.081223	0.172230
ENSMUSG00000067813	Xkr9	1	+	13668771	13701723	0.920561	0.174327	0.369654
ENSMUSG00000081201	Smt3h2-ps4	1	-	14839869	14840156	7.356316	1.393072	2.953954
ENSMUSG00000082193	Rpl5-ps1	1	+	14865072	14865965	17.250738	3.266786	6.927094
ENSMUSG00000032769	Trpa1	1	-	14872648	14918862	0.000000	0.000000	0.000000
ENSMUSG00000073737	Gm10566	1	-	15268802	15269797	2.062360	0.390551	0.828148
ENSMUSG00000092083	Kcnb2	1	+	15287254	15723750	0.026970	0.005217	0.011063
ENSMUSG00000102937	Gm38116	1	+	15364302	15365834	0.000000	0.000000	0.000000
ENSMUSG00000104149	Gm37138	1	+	15556249	15558337	0.000000	0.000000	0.000000
ENSMUSG00000088829	Gm25227	1	-	15685935	15686046	0.000000	0.000000	0.000000
ENSMUSG00000025925	Terf1	1	+	15805646	15844052	27.889610	12.344666	26.176390
ENSMUSG00000104379	Gm37509	1	+	15853331	15856499	0.244973	0.046391	0.098370
ENSMUSG00000032719	Sbspon	1	-	15853862	15892722	0.714585	0.135322	0.286944
ENSMUSG00000088943	Gm23259	1	+	15879530	15879832	0.000000	0.000000	0.000000
ENSMUSG00000043716	Rpl7	1	-	16101295	16104662	3326.798340	1540.324219	3266.198242
ENSMUSG00000025921	Rdh10	1	+	16105774	16133734	24.583054	5.513215	11.690559
ENSMUSG00000100868	Gm28095	1	+	16228506	16244062	0.000000	0.000000	0.000000
ENSMUSG00000025920	Stau2	1	-	16228674	16520112	16.278679	10.152955	21.528952
ENSMUSG00000089982	Gm7568	1	+	16253592	16267921	0.000000	0.000000	0.000000
