Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000098104	Gm6085	1	-	4687934	4689403	0.144218	0.102319	0.207089
ENSMUSG00000033845	Mrpl15	1	-	4773206	4785739	12.339932	23.376045	47.312008
ENSMUSG00000102275	Gm37144	1	-	4778063	4779212	0.167826	0.119068	0.240988
ENSMUSG00000025903	Lypla1	1	+	4807788	4848410	25.220146	52.333221	105.919968
ENSMUSG00000104217	Gm37988	1	+	4807892	4886770	0.000000	0.000000	0.000000
ENSMUSG00000033813	Tcea1	1	+	4857814	4897909	13.027455	43.484318	88.010208
ENSMUSG00000062588	Gm6104	1	-	4880049	4880651	3.616915	2.566107	5.193679
ENSMUSG00000002459	Rgs20	1	-	4909576	5070285	0.000000	0.000000	0.000000
ENSMUSG00000091305	Gm17100	1	-	4927028	4927299	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	4938576	4940710	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	4970857	4976820	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5063060	5064647	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5070018	5162529	6.328461	24.729265	50.050861
ENSMUSG00000025907	Rb1cc1	1	+	6206197	6276648	2.196366	6.073126	12.291720
ENSMUSG00000090031	4732440D04Rik	1	-	6209866	6215293	0.527669	0.374367	0.757702
ENSMUSG00000087247	Fam150a	1	+	6359218	6394731	0.000000	0.000000	0.000000
ENSMUSG00000103355	Gm2147	1	+	6380394	6381032	0.151800	0.107698	0.217976
ENSMUSG00000102706	Gm7417	1	-	6382634	6383106	0.000000	0.000000	0.000000
ENSMUSG00000033740	St18	1	+	6487231	6860940	0.043812	0.072248	0.146226
ENSMUSG00000102135	Gm37108	1	+	6916559	6923588	0.239617	0.170002	0.344076
ENSMUSG00000051285	Pcmtd1	1	+	7088920	7173628	7.303277	6.811452	13.786057
ENSMUSG00000098201	Gm26983	1	-	7136199	7136586	0.000000	0.000000	0.000000
ENSMUSG00000103509	Gm38372	1	+	7148110	7152137	0.070010	0.049670	0.100530
ENSMUSG00000048538	Gm9826	1	+	7177739	7179037	2.354508	1.670462	3.380936
ENSMUSG00000097797	Gm26901	1	-	7349406	7397869	0.068159	0.936054	1.894528
ENSMUSG00000103067	Gm30414	1	+	7497968	7518149	0.104777	0.074337	0.150454
