Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000051951	Xkr4	1	-	3205901	3671498	0.000000	0.000000	0.000000
ENSMUSG00000102851	Gm18956	1	+	3252757	3253236	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3365731	3368549	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3375556	3377788	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3464977	3467285	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3466587	3513553	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3512451	3514507	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3531795	3532720	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3592892	3595903	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3647309	3658904	0.000000	0.000000	0.000000
ENSMUSG00000103922	Gm6123	1	+	4771131	4772199	0.066885	0.046908	0.094731
ENSMUSG00000033845	Mrpl15	1	-	4773206	4785739	10.329090	17.066235	34.465584
ENSMUSG00000102275	Gm37144	1	-	4778063	4779212	0.881739	0.618380	1.248831
ENSMUSG00000025903	Lypla1	1	+	4807788	4848410	23.563131	48.126369	97.192116
ENSMUSG00000104217	Gm37988	1	+	4807892	4886770	0.439579	0.308285	0.622588
ENSMUSG00000033813	Tcea1	1	+	4857814	4897909	14.069493	46.414600	93.735176
ENSMUSG00000062588	Gm6104	1	-	4880049	4880651	2.644279	1.854484	3.745165
ENSMUSG00000002459	Rgs20	1	-	4909576	5070285	0.000000	0.000000	0.000000
ENSMUSG00000091305	Gm17100	1	-	4927028	4927299	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	4938576	4940710	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	4970857	4976820	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5063060	5064647	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5070018	5162529	5.116210	19.775177	39.936344
ENSMUSG00000025907	Rb1cc1	1	+	6206197	6276648	2.757379	7.384740	14.913623
ENSMUSG00000090031	4732440D04Rik	1	-	6209866	6215293	0.400450	0.280843	0.567168
ENSMUSG00000033740	St18	1	+	6487231	6860940	0.020226	0.032971	0.066586
ENSMUSG00000102135	Gm37108	1	+	6916559	6923588	0.000000	0.000000	0.000000
ENSMUSG00000051285	Pcmtd1	1	+	7088920	7173628	6.589270	6.006143	12.129519
ENSMUSG00000098201	Gm26983	1	-	7136199	7136586	0.000000	0.000000	0.000000
ENSMUSG00000103509	Gm38372	1	+	7148110	7152137	0.213505	0.149735	0.302393
ENSMUSG00000048538	Gm9826	1	+	7177739	7179037	0.978706	0.686385	1.386168
ENSMUSG00000102768	Gm19002	1	+	7315451	7316462	0.000000	0.000000	0.000000
ENSMUSG00000097797	Gm26901	1	-	7349406	7397869	0.050621	1.242929	2.510119
ENSMUSG00000103067	Gm30414	1	+	7497968	7518149	0.295069	0.206938	0.417914
ENSMUSG00000025909	Sntg1	1	-	8361475	9299878	0.000000	0.000000	0.000000
ENSMUSG00000102647	Gm38024	1	-	8450960	8453491	0.000000	0.000000	0.000000
ENSMUSG00000086235	Gm16284	1	-	8468426	8468825	0.000000	0.000000	0.000000
ENSMUSG00000102253	Gm38259	1	-	8527780	8531313	0.000000	0.000000	0.000000
ENSMUSG00000093970	Gm23358	1	-	8588615	8588724	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8643696	8644859	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8791923	8792162	0.802777	0.563003	1.136995
ENSMUSG00000103933	Gm36964	1	+	8815842	8816039	0.000000	0.000000	0.000000
ENSMUSG00000076135	Gm24276	1	+	8816138	8816247	0.000000	0.000000	0.000000
ENSMUSG00000086195	Gm6152	1	-	8855928	8856267	0.000000	0.000000	0.000000
ENSMUSG00000104504	Gm7445	1	+	8856763	8857102	0.000000	0.000000	0.000000
ENSMUSG00000066693	Gm7493	1	-	8962996	8963621	0.197284	0.138359	0.279419
ENSMUSG00000102316	Gm37629	1	-	9191067	9192116	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9258617	9259134	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9286922	9290180	0.000000	0.000000	0.000000
ENSMUSG00000061024	Rrs1	1	+	9545408	9547455	48.425293	33.961586	68.586067
ENSMUSG00000025911	Adhfe1	1	+	9547948	9580673	0.815344	0.667325	1.347675
ENSMUSG00000079671	2610203C22Rik	1	-	9560832	9631175	0.000000	0.000000	0.000000
ENSMUSG00000081441	Gm6161	1	+	9574548	9575649	1.775787	1.245393	2.515096
ENSMUSG00000067879	3110035E14Rik	1	+	9601199	9627143	0.000000	0.000000	0.000000
ENSMUSG00000025912	Mybl1	1	-	9667415	9700209	0.660866	0.675538	1.364262
ENSMUSG00000045210	Vcpip1	1	-	9718622	9748382	6.997314	4.907351	9.910487
ENSMUSG00000097893	1700034P13Rik	1	+	9747648	9791924	0.084561	0.469979	0.949132
ENSMUSG00000025915	Sgk3	1	+	9798107	9900845	0.224552	1.473854	2.976476
ENSMUSG00000046334	Gm6195	1	-	9802197	9802553	0.000000	0.000000	0.000000
ENSMUSG00000088916	Gm22607	1	-	9834498	9834602	0.000000	0.000000	0.000000
ENSMUSG00000046101	Mcmdc2	1	+	9908638	9942085	0.000000	0.000000	0.000000
ENSMUSG00000098234	Snhg6	1	-	9941959	9944118	40.297993	62.547436	126.315735
ENSMUSG00000093178	Snord87	1	-	9942463	9942549	1.517241	1.064070	2.148910
ENSMUSG00000099032	Tcf24	1	-	9960163	9967932	0.186740	0.134237	0.271094
ENSMUSG00000104025	E330040D14Rik	1	+	9967314	9968687	0.000000	0.000000	0.000000
ENSMUSG00000025916	Ppp1r42	1	-	9968624	10009136	0.000000	0.000000	0.000000
ENSMUSG00000087199	Gm15818	1	+	9982387	9992366	0.000000	0.000000	0.000000
ENSMUSG00000025917	Cops5	1	-	10024601	10038168	30.154192	49.438725	99.842445
ENSMUSG00000056763	Cspp1	1	+	10037987	10136768	1.678316	7.946862	16.048840
ENSMUSG00000102356	1700047N06Rik	1	-	10057025	10057944	0.000000	0.000000	0.000000
ENSMUSG00000067851	Arfgef1	1	-	10137571	10232670	20.752079	23.759542	47.982849
ENSMUSG00000088153	Gm26348	1	+	10166539	10166778	1.033333	0.724696	1.463538
ENSMUSG00000102556	Gm37569	1	-	10197081	10198802	0.000000	0.000000	0.000000
ENSMUSG00000025938	Slco5a1	1	-	12866549	12992650	0.010173	0.021017	0.042445
ENSMUSG00000005886	Ncoa2	1	-	13139105	13374083	6.073041	8.782815	17.737062
ENSMUSG00000103506	Gm38376	1	-	13177462	13179714	0.000000	0.000000	0.000000
ENSMUSG00000103495	Gm37409	1	-	13234809	13236434	0.000000	0.000000	0.000000
ENSMUSG00000099183	Gm27881	1	+	13262198	13262279	0.000000	0.000000	0.000000
ENSMUSG00000102639	Gm38223	1	-	13289812	13290506	0.000000	0.000000	0.000000
ENSMUSG00000104170	Gm37702	1	-	13297036	13298907	0.000000	0.000000	0.000000
ENSMUSG00000087782	Gm23169	1	-	13334498	13334609	0.000000	0.000000	0.000000
ENSMUSG00000103085	Gm38120	1	-	13343563	13348204	0.000000	0.000000	0.000000
ENSMUSG00000102664	Gm38380	1	-	13354483	13356730	0.000000	0.000000	0.000000
ENSMUSG00000025935	Tram1	1	-	13564698	13589910	30.533049	23.097755	46.646355
ENSMUSG00000025937	Lactb2	1	-	13623330	13660546	6.133158	4.520569	9.129375
ENSMUSG00000102982	Gm38319	1	-	13641483	13642748	0.214060	0.150124	0.303179
ENSMUSG00000067813	Xkr9	1	+	13668771	13701723	0.492731	0.345562	0.697868
ENSMUSG00000081201	Smt3h2-ps4	1	-	14839869	14840156	4.033103	2.828492	5.712194
ENSMUSG00000082193	Rpl5-ps1	1	+	14865072	14865965	2.291574	1.607125	3.245619
ENSMUSG00000032769	Trpa1	1	-	14872648	14918862	0.117757	0.082585	0.166782
ENSMUSG00000073737	Gm10566	1	-	15268802	15269797	0.780899	0.547659	1.106009
ENSMUSG00000025925	Terf1	1	+	15805646	15844052	9.614366	15.513994	31.330805
ENSMUSG00000043716	Rpl7	1	-	16101295	16104662	1012.467651	1749.532471	3533.214355
ENSMUSG00000025921	Rdh10	1	+	16105774	16133734	8.731490	7.225307	14.591645
ENSMUSG00000100868	Gm28095	1	+	16228506	16244062	0.180858	0.126839	0.256154
ENSMUSG00000025920	Stau2	1	-	16228674	16520112	3.917183	8.941632	18.057796
ENSMUSG00000089982	Gm7568	1	+	16253592	16267921	0.000000	0.000000	0.000000
ENSMUSG00000025939	Ube2w	1	-	16540790	16619489	1.310194	8.860765	17.894482
ENSMUSG00000102457	Gm38342	1	+	16618560	16621539	0.086665	0.060780	0.122746
ENSMUSG00000079658	Tceb1	1	-	16641725	16657042	17.721664	25.667162	51.835323
ENSMUSG00000100959	Gm7654	1	-	16662980	16663662	0.633968	0.444614	0.897906
ENSMUSG00000025940	Tmem70	1	+	16665207	16678275	59.508976	45.451172	91.789505
ENSMUSG00000025779	Ly96	1	+	16688051	16709611	4.908913	5.527552	11.162995
ENSMUSG00000091020	Gm5828	1	-	16768279	16770138	0.079570	0.055804	0.112697
ENSMUSG00000101640	Gm28376	1	+	16898185	17091631	0.000000	0.000000	0.000000
ENSMUSG00000104133	4921511E07Rik	1	+	16930970	16931796	0.000000	0.000000	0.000000
ENSMUSG00000042686	Jph1	1	-	16964560	17097889	0.110644	0.080647	0.162868
